metric,estimate,lower,upper,valid_iterations
dice,0.5095497734818286,0.43528610223920344,0.5933591134641434,5000
iou,0.39328863799314917,0.3260998739916515,0.4700779699779017,5000
pixel_sensitivity,0.6318317567512248,0.5091220180857963,0.7779997708260614,5000
pixel_specificity,0.9992430091112375,0.9989684222570633,0.9994451832087279,5000
pixel_precision,0.5814479587413491,0.481611705755701,0.6545597105813048,5000
gt_coverage,0.6318317567512248,0.5091220180857963,0.7779997708260614,5000
prediction_purity,0.5814479587413491,0.481611705755701,0.6545597105813048,5000
empty_prediction,0.046822742474916385,0.0,0.11356505822331268,5000
missed_target,0.12709030100334448,0.06153688524590165,0.2,5000
pred_gt_area_ratio,1.5612924180478462,1.1408704898724373,2.148090361020134,5000
