metric,estimate,lower,upper,valid_iterations
dice,0.44182960631640195,0.31722630345689107,0.5591933375670781,5000
iou,0.34147514769063714,0.24046406255379565,0.437740885973122,5000
pixel_sensitivity,0.6041020713832703,0.4291166791434601,0.7648239582296563,5000
pixel_specificity,0.9987591033705309,0.9982757432714537,0.9991890875953177,5000
pixel_precision,0.4462088740389557,0.35924992185070076,0.5345001648809566,5000
gt_coverage,0.6041020713832703,0.4291166791434601,0.7648239582296563,5000
prediction_purity,0.4462088740389557,0.35924992185070076,0.5345001648809566,5000
empty_prediction,0.05531914893617021,0.02399808612440192,0.08888888888888889,5000
missed_target,0.24680851063829787,0.1,0.427399443011476,5000
pred_gt_area_ratio,2.1589883099992915,1.7370809207776499,2.6648453258858202,5000
