level,calibration,metric,estimate,lower,upper,valid_iterations,point_check
slice_subject_clustered,raw,auroc,0.9514901712111604,0.8734586576060134,0.9992325472304309,5000,0.9514901712111604
slice_subject_clustered,raw,auprc,0.8897452965825723,0.6940557855384076,0.998890807467918,5000,0.8897452965825723
slice_subject_clustered,raw,accuracy,0.8170212765957446,0.6483954845256215,0.9466217694416894,5000,0.8170212765957446
slice_subject_clustered,raw,balanced_accuracy,0.8585526315789473,0.7230555555555557,0.9545454545454546,5000,0.8585526315789473
slice_subject_clustered,raw,sensitivity,1.0,1.0,1.0,5000,1.0
slice_subject_clustered,raw,specificity,0.7171052631578947,0.44611111111111135,0.9090909090909091,5000,0.7171052631578947
slice_subject_clustered,raw,precision,0.6587301587301587,0.3779454263695762,0.8922155688622755,5000,0.6587301587301587
slice_subject_clustered,raw,f1,0.7942583732057417,0.5485637065637067,0.9430379746835443,5000,0.7942583732057417
slice_subject_clustered,raw,macro_f1,0.8147537076756678,0.6221091157039791,0.9437536044529392,5000,0.8147537076756678
slice_subject_clustered,raw,brier,0.16632292590051903,0.05561481880426955,0.31553825268928826,5000,0.16632292590051903
slice_subject_clustered,raw,ece,0.23759231268566977,0.1173320474992278,0.39289130517734844,5000,0.23759231268566977
slice_subject_clustered,raw,calibration_slope,1.113404248282148,0.8117479647061004,3.3400273559678206,5000,1.113404248282148
slice_subject_clustered,raw,calibration_intercept,-3.2689329996141336,-7.32290749361901,-2.217608024661366,5000,-3.2689329996141336
slice_subject_clustered,calibrated,auroc,0.9514901712111604,0.8734586576060134,0.9992325472304309,5000,0.9514901712111604
slice_subject_clustered,calibrated,auprc,0.8897452965825723,0.6940557855384076,0.998890807467918,5000,0.8897452965825723
slice_subject_clustered,calibrated,accuracy,0.8723404255319149,0.7338648049020989,0.9701539969643308,5000,0.8723404255319149
slice_subject_clustered,calibrated,balanced_accuracy,0.8767041851616995,0.7613817915869413,0.9607843517901025,5000,0.8767041851616995
slice_subject_clustered,calibrated,sensitivity,0.891566265060241,0.8194444444444444,0.9625029205607476,5000,0.891566265060241
slice_subject_clustered,calibrated,specificity,0.8618421052631579,0.641507051648561,1.0,5000,0.8618421052631579
slice_subject_clustered,calibrated,precision,0.7789473684210526,0.47824464633354974,1.0,5000,0.7789473684210526
slice_subject_clustered,calibrated,f1,0.8314606741573034,0.6211881472957423,0.9547055836674663,5000,0.8314606741573034
slice_subject_clustered,calibrated,macro_f1,0.8643604740649531,0.7086014029698438,0.9638747247087862,5000,0.8643604740649531
slice_subject_clustered,calibrated,brier,0.08719678646665016,0.040040204104413654,0.14632434178802636,5000,0.08719678646665016
slice_subject_clustered,calibrated,ece,0.07764886132220936,0.07373341191344537,0.18612773532900195,5000,0.07764886132220936
slice_subject_clustered,calibrated,calibration_slope,1.7528629907363602,1.2770071895987927,5.258322897010849,5000,1.7528629907363602
slice_subject_clustered,calibrated,calibration_intercept,-0.14350561922700233,-1.6953567950655657,3.563130380849291,5000,-0.14350561922700233
case_subject_clustered,raw,auroc,0.9814814814814814,0.9166666666666666,1.0,5000,0.9814814814814814
case_subject_clustered,raw,auprc,0.9765432098765434,0.8857142857142857,1.0,5000,0.9765432098765434
case_subject_clustered,raw,accuracy,0.8095238095238095,0.6190476190476191,0.9523809523809523,5000,0.8095238095238095
case_subject_clustered,raw,balanced_accuracy,0.8333333333333333,0.6923076923076923,0.9583333333333333,5000,0.8333333333333333
case_subject_clustered,raw,sensitivity,1.0,1.0,1.0,5000,1.0
case_subject_clustered,raw,specificity,0.6666666666666666,0.38461538461538464,0.9166666666666666,5000,0.6666666666666666
case_subject_clustered,raw,precision,0.6923076923076923,0.4166666666666667,0.9230769230769231,5000,0.6923076923076923
case_subject_clustered,raw,f1,0.8181818181818182,0.5882352941176471,0.96,5000,0.8181818181818182
case_subject_clustered,raw,macro_f1,0.8090909090909091,0.6111111111111112,0.9519450800915332,5000,0.8090909090909091
case_subject_clustered,raw,brier,0.17757679653152664,0.06015179633822391,0.3214351810384113,5000,0.17757679653152664
case_subject_clustered,raw,ece,0.24502335980905904,0.1173956447749819,0.401358915350177,5000,0.24502335980905904
case_subject_clustered,raw,calibration_slope,4.322216950492114,2.215732014163994,107.21345089694785,5000,4.322216950492114
case_subject_clustered,raw,calibration_intercept,-12.242337143759046,-283.1722834198944,-5.468105211755042,5000,-12.242337143759046
case_subject_clustered,calibrated,auroc,0.9814814814814814,0.9166666666666666,1.0,5000,0.9814814814814814
case_subject_clustered,calibrated,auprc,0.9765432098765434,0.8857142857142857,1.0,5000,0.9765432098765434
case_subject_clustered,calibrated,accuracy,0.8571428571428571,0.7142857142857143,1.0,5000,0.8571428571428571
case_subject_clustered,calibrated,balanced_accuracy,0.875,0.75,1.0,5000,0.875
case_subject_clustered,calibrated,sensitivity,1.0,1.0,1.0,5000,1.0
case_subject_clustered,calibrated,specificity,0.75,0.5,1.0,5000,0.75
case_subject_clustered,calibrated,precision,0.75,0.5,1.0,5000,0.75
case_subject_clustered,calibrated,f1,0.8571428571428571,0.6666666666666666,1.0,5000,0.8571428571428571
case_subject_clustered,calibrated,macro_f1,0.8571428571428571,0.6666666666666666,1.0,5000,0.8571428571428571
case_subject_clustered,calibrated,brier,0.09575207338477897,0.021607891096861752,0.18393366086045337,5000,0.09575207338477897
case_subject_clustered,calibrated,ece,0.13044043238833444,0.0732357235961597,0.26614145981240733,5000,0.13044043238833444
case_subject_clustered,calibrated,calibration_slope,4.419528262978729,2.263924472500292,103.96833038756033,5000,4.419528262978729
case_subject_clustered,calibrated,calibration_intercept,-5.611372006978038,-112.62295785402377,-1.7666322293206485,5000,-5.611372006978038
