endpoint,method,model_a,model_b,difference,lower,upper,p_two_sided,wilcoxon_p
case_raw_auroc,paired SubjectID-clustered bootstrap,0.9074074074074074,0.8333333333333334,0.07407407407407407,-0.10185185185185186,0.27947192513368896,0.4456,
case_raw_auprc,paired SubjectID-clustered bootstrap,0.8927128427128428,0.8034391534391536,0.08927368927368917,-0.11002232142857137,0.34282856032856013,0.4304,
case_raw_brier,paired SubjectID-clustered bootstrap,0.12685002749677995,0.18187746572260494,-0.05502743822582498,-0.15757350865162023,0.037125636009583685,0.2612,
case_raw_accuracy,exact McNemar,0.8095238095238095,0.7619047619047619,0.04761904761904767,,,1.0,
case_calibrated_auroc,paired SubjectID-clustered bootstrap,0.9074074074074074,0.8333333333333334,0.07407407407407407,-0.10185185185185186,0.27947192513368896,0.4456,
case_calibrated_auprc,paired SubjectID-clustered bootstrap,0.8927128427128428,0.8034391534391536,0.08927368927368917,-0.11002232142857137,0.34282856032856013,0.4304,
case_calibrated_brier,paired SubjectID-clustered bootstrap,0.12420141277294126,0.2126429724677888,-0.08844155969484753,-0.23897498394367414,0.04712270597514359,0.21,
case_calibrated_accuracy,exact McNemar,0.7142857142857143,0.7619047619047619,-0.04761904761904756,,,1.0,
slice_dice,paired SubjectID-clustered bootstrap + Wilcoxon,0.5396164202136695,0.4060238330478819,0.13359258716578762,-0.0029215446903582292,0.2764801002180166,0.056,1.0242711084979989e-10
slice_iou,paired SubjectID-clustered bootstrap + Wilcoxon,0.4223546118522763,0.30292631857536584,0.11942829327691044,0.004266599253990868,0.23997917383698913,0.0408,8.029653389375192e-11
