bin,lower,upper,n,mean_predicted,observed_fraction
1,0.0,0.1,72,0.07939283486842152,0.013888888888888888
2,0.1,0.2,52,0.1446938468538648,0.36538461538461536
3,0.2,0.30000000000000004,18,0.24050416048097858,0.5555555555555556
4,0.30000000000000004,0.4,19,0.3616504257546249,0.5789473684210527
5,0.4,0.5,9,0.433489395007187,0.6666666666666666
6,0.5,0.6000000000000001,10,0.5617126630549748,0.8
7,0.6000000000000001,0.7000000000000001,30,0.6580785436085396,0.7666666666666667
8,0.7000000000000001,0.8,18,0.720689326974599,0.8888888888888888
9,0.8,0.9,0,,
10,0.9,1.0,0,,
