bin,lower,upper,n,mean_predicted,observed_fraction
1,0.0,0.1,2,0.04171428322378132,0.0
2,0.1,0.2,2,0.12464386528333674,0.0
3,0.2,0.30000000000000004,1,0.25582679236928624,0.0
4,0.30000000000000004,0.4,1,0.3226940743625164,1.0
5,0.4,0.5,0,,
6,0.5,0.6000000000000001,1,0.5157229201868176,0.0
7,0.6000000000000001,0.7000000000000001,3,0.6016637522139048,0.0
8,0.7000000000000001,0.8,3,0.7739683500162645,1.0
9,0.8,0.9,4,0.8550169335847551,0.25
10,0.9,1.0,5,0.9586534298601604,1.0
