bin,lower,upper,n,mean_predicted,observed_fraction
1,0.0,0.1,101,0.05158917127461009,0.07920792079207921
2,0.1,0.2,29,0.14435634827754149,0.2413793103448276
3,0.2,0.30000000000000004,21,0.25135443913489575,0.3333333333333333
4,0.30000000000000004,0.4,16,0.3476173004121446,0.1875
5,0.4,0.5,11,0.4459357289879522,0.5454545454545454
6,0.5,0.6000000000000001,20,0.5413186718340589,0.3
7,0.6000000000000001,0.7000000000000001,26,0.6467355102071193,0.46153846153846156
8,0.7000000000000001,0.8,40,0.7624266367101571,0.95
9,0.8,0.9,1,0.8007936632028104,1.0
10,0.9,1.0,0,,
