false_positive_rate,true_positive_rate,threshold
0.0,0.0,inf
0.0,0.011363636363636364,0.8007936632028104
0.0,0.056818181818181816,0.7850584520118892
0.0,0.07954545454545454,0.7843573915275212
0.0,0.125,0.7798097665534334
0.0,0.14772727272727273,0.7766727788987865
0.0,0.25,0.7678407125286639
0.005649717514124294,0.25,0.7663555259334632
0.005649717514124294,0.26136363636363635,0.7652537385107221
0.005649717514124294,0.2840909090909091,0.7626844698015722
0.005649717514124294,0.4090909090909091,0.7305582029103167
0.011299435028248588,0.4090909090909091,0.7269067717250322
0.011299435028248588,0.4431818181818182,0.7089990965576559
0.01694915254237288,0.4431818181818182,0.6962607553274431
0.01694915254237288,0.4659090909090909,0.6806298878457459
0.01694915254237288,0.48863636363636365,0.6797717474778884
0.02824858757062147,0.48863636363636365,0.6701628027805787
0.02824858757062147,0.5113636363636364,0.6684358028919872
0.03389830508474576,0.5113636363636364,0.6648644799383133
0.03389830508474576,0.5227272727272727,0.6643146757977323
0.05084745762711865,0.5227272727272727,0.6460454329144165
0.05084745762711865,0.5340909090909091,0.6426871016229799
0.062146892655367235,0.5340909090909091,0.6284569737913495
0.062146892655367235,0.5568181818181818,0.6198613943099129
0.06779661016949153,0.5568181818181818,0.6179710823318534
0.06779661016949153,0.5681818181818182,0.6151020350239199
0.07344632768361582,0.5681818181818182,0.6148287474517224
0.07344632768361582,0.5795454545454546,0.6136226600250833
0.0903954802259887,0.5795454545454546,0.6008757624807414
0.0903954802259887,0.6022727272727273,0.5858541497752959
0.11299435028248588,0.6022727272727273,0.5507579041754787
0.11299435028248588,0.625,0.5443546638924971
0.12429378531073447,0.625,0.5436895083844568
0.12429378531073447,0.6363636363636364,0.5429379065249149
0.15254237288135594,0.6363636363636364,0.5207031414595295
0.15254237288135594,0.6477272727272727,0.51456037080288
0.1694915254237288,0.6477272727272727,0.505644291933449
0.1694915254237288,0.6818181818181818,0.45600393325497907
0.1751412429378531,0.6818181818181818,0.4482477222897
0.1751412429378531,0.6931818181818182,0.4439555300597115
0.1807909604519774,0.6931818181818182,0.44347049765429974
0.1807909604519774,0.7045454545454546,0.4395865770046506
0.192090395480226,0.7045454545454546,0.4360790230569925
0.192090395480226,0.7159090909090909,0.4357446214414396
0.1977401129943503,0.7159090909090909,0.4352297825148203
0.1977401129943503,0.7272727272727273,0.3856344305338512
0.22033898305084745,0.7272727272727273,0.3761967565669523
0.22033898305084745,0.7386363636363636,0.37594990633887726
0.22598870056497175,0.7386363636363636,0.3702948175948368
0.22598870056497175,0.75,0.35802516039739324
0.2768361581920904,0.75,0.2914303058781927
0.2768361581920904,0.7613636363636364,0.2888057270204146
0.2994350282485876,0.7613636363636364,0.2780266244525066
0.2994350282485876,0.7727272727272727,0.27211620653138613
0.3107344632768362,0.7727272727272727,0.25594193336648613
0.3107344632768362,0.7840909090909091,0.2544500793627579
0.3333333333333333,0.7840909090909091,0.24650129988143013
0.3333333333333333,0.8181818181818182,0.2170460148535485
0.3446327683615819,0.8181818181818182,0.21317426936658734
0.3446327683615819,0.8295454545454546,0.20451884662535277
0.3502824858757062,0.8295454545454546,0.20371484053541347
0.3502824858757062,0.8409090909090909,0.19674958837725726
0.3615819209039548,0.8409090909090909,0.19391359671654615
0.3615819209039548,0.8522727272727273,0.18880729267611995
0.4011299435028249,0.8522727272727273,0.1595754239253015
0.4011299435028249,0.8636363636363636,0.15397344977060473
0.4406779661016949,0.8636363636363636,0.12884572206811848
0.4406779661016949,0.9090909090909091,0.11887072209143437
0.4745762711864407,0.9090909090909091,0.10006431684815534
0.4745762711864407,0.9318181818181818,0.0986145839460566
0.480225988700565,0.9318181818181818,0.09784085647816172
0.480225988700565,0.9431818181818182,0.09692682987372107
0.4858757062146893,0.9431818181818182,0.09563439236755848
0.4858757062146893,0.9545454545454546,0.09440684811687432
0.5649717514124294,0.9545454545454546,0.06461650660650962
0.5649717514124294,0.9659090909090909,0.0627142427271707
0.5932203389830508,0.9659090909090909,0.05414389056802717
0.5932203389830508,0.9886363636363636,0.05144445978360064
0.5988700564971752,0.9886363636363636,0.0497052595601458
0.5988700564971752,1.0,0.04941995897481862
1.0,1.0,0.03494381144717322
