false_positive_rate,true_positive_rate,threshold
0.0,0.0,inf
0.0,0.011363636363636364,0.995079755783081
0.0,0.056818181818181816,0.9941182136535645
0.0,0.07954545454545454,0.9940726161003113
0.0,0.125,0.9937708973884583
0.0,0.14772727272727273,0.9935566782951355
0.0,0.25,0.9929260015487671
0.005649717514124294,0.25,0.9928158521652222
0.005649717514124294,0.26136363636363635,0.992733359336853
0.005649717514124294,0.2840909090909091,0.9925383925437927
0.005649717514124294,0.4090909090909091,0.9897711277008057
0.011299435028248588,0.4090909090909091,0.9894150495529175
0.011299435028248588,0.4431818181818182,0.9875325560569763
0.01694915254237288,0.4431818181818182,0.9860461354255676
0.01694915254237288,0.4659090909090909,0.984038770198822
0.01694915254237288,0.48863636363636365,0.9839223623275757
0.02824858757062147,0.48863636363636365,0.9825724363327026
0.02824858757062147,0.5113636363636364,0.9823205471038818
0.03389830508474576,0.5113636363636364,0.9817904233932495
0.03389830508474576,0.5227272727272727,0.9817076921463013
0.05084745762711865,0.5227272727272727,0.9787808656692505
0.05084745762711865,0.5340909090909091,0.978203535079956
0.062146892655367235,0.5340909090909091,0.9756113886833191
0.062146892655367235,0.5568181818181818,0.9739248752593994
0.06779661016949153,0.5568181818181818,0.9735411405563354
0.06779661016949153,0.5681818181818182,0.9729496240615845
0.07344632768361582,0.5681818181818182,0.972892701625824
0.07344632768361582,0.5795454545454546,0.9726402759552002
0.0903954802259887,0.5795454545454546,0.9698478579521179
0.0903954802259887,0.6022727272727273,0.9662462472915649
0.11299435028248588,0.6022727272727273,0.9563285708427429
0.11299435028248588,0.625,0.9542625546455383
0.12429378531073447,0.625,0.9540429711341858
0.12429378531073447,0.6363636363636364,0.9537937045097351
0.15254237288135594,0.6363636363636364,0.945840060710907
0.15254237288135594,0.6477272727272727,0.9434317946434021
0.1694915254237288,0.6477272727272727,0.9397597908973694
0.1694915254237288,0.6818181818181818,0.9148792028427124
0.1751412429378531,0.6818181818181818,0.9102019667625427
0.1751412429378531,0.6931818181818182,0.9075084328651428
0.1807909604519774,0.6931818181818182,0.9071992039680481
0.1807909604519774,0.7045454545454546,0.9046868085861206
0.192090395480226,0.7045454545454546,0.9023615121841431
0.192090395480226,0.7159090909090909,0.9021369814872742
0.1977401129943503,0.7159090909090909,0.9017903208732605
0.1977401129943503,0.7272727272727273,0.8621455430984497
0.22033898305084745,0.7272727272727273,0.8529970645904541
0.22033898305084745,0.7386363636363636,0.8527499437332153
0.22598870056497175,0.7386363636363636,0.8469755053520203
0.22598870056497175,0.75,0.8336707949638367
0.2768361581920904,0.75,0.7392051815986633
0.2768361581920904,0.7613636363636364,0.7345799207687378
0.2994350282485876,0.7613636363636364,0.7147606611251831
0.2994350282485876,0.7727272727272727,0.703314483165741
0.3107344632768362,0.7727272727272727,0.6697988510131836
0.3107344632768362,0.7840909090909091,0.6665410995483398
0.3333333333333333,0.7840909090909091,0.648697018623352
0.3333333333333333,0.8181818181818182,0.5752501487731934
0.3446327683615819,0.8181818181818182,0.5647285580635071
0.3446327683615819,0.8295454545454546,0.5404863357543945
0.3502824858757062,0.8295454545454546,0.5381844639778137
0.3502824858757062,0.8409090909090909,0.5178939700126648
0.3615819209039548,0.8409090909090909,0.5094560980796814
0.3615819209039548,0.8522727272727273,0.494013249874115
0.4011299435028249,0.8522727272727273,0.4000852406024933
0.4011299435028249,0.8636363636363636,0.38120293617248535
0.4406779661016949,0.8636363636363636,0.29468026757240295
0.4406779661016949,0.9090909090909091,0.26020216941833496
0.4745762711864407,0.9090909090909091,0.19673050940036774
0.4745762711864407,0.9318181818181818,0.19198107719421387
0.480225988700565,0.9318181818181818,0.18945728242397308
0.480225988700565,0.9431818181818182,0.18648606538772583
0.4858757062146893,0.9431818181818182,0.1823042631149292
0.4858757062146893,0.9545454545454546,0.1783543825149536
0.5649717514124294,0.9545454545454546,0.09129828214645386
0.5649717514124294,0.9659090909090909,0.08646152168512344
0.5932203389830508,0.9659090909090909,0.06600479036569595
0.5932203389830508,0.9886363636363636,0.060040488839149475
0.5988700564971752,0.9886363636363636,0.056325770914554596
0.5988700564971752,1.0,0.055726148188114166
1.0,1.0,0.02911030501127243
