bin,lower,upper,n,mean_predicted,observed_fraction
1,0.0,0.1,82,0.04403405811455918,0.04878048780487805
2,0.1,0.2,21,0.1631945346792539,0.19047619047619047
3,0.2,0.30000000000000004,10,0.26241682320833204,0.4
4,0.30000000000000004,0.4,6,0.337978333234787,0.16666666666666666
5,0.4,0.5,8,0.43258967995643616,0.125
6,0.5,0.6000000000000001,8,0.5406224280595779,0.375
7,0.6000000000000001,0.7000000000000001,9,0.6544344027837118,0.3333333333333333
8,0.7000000000000001,0.8,14,0.75025332399777,0.14285714285714285
9,0.8,0.9,9,0.8498492903179593,0.3333333333333333
10,0.9,1.0,98,0.9711683435099465,0.6428571428571429
