precision,recall,threshold
0.45454545454545453,1.0,0.033020787975854345
0.47619047619047616,1.0,0.0504077784717083
0.5,1.0,0.10537077588113872
0.5263157894736842,1.0,0.14391695468553475
0.5555555555555556,1.0,0.25582679236928624
0.5882352941176471,1.0,0.3226940743625164
0.5625,0.9,0.5157229201868176
0.6,0.9,0.6008518377417013
0.6428571428571429,0.9,0.6008553989231586
0.6923076923076923,0.9,0.6032840199768543
0.75,0.9,0.7469101448853811
0.7272727272727273,0.8,0.7789378240704536
0.7,0.7,0.7960570810929589
0.6666666666666666,0.6,0.8232406030098597
0.75,0.6,0.8403799452564933
0.8571428571428571,0.6,0.8671320080757141
0.8333333333333334,0.5,0.8893151779969534
1.0,0.5,0.91282985607783
1.0,0.4,0.9352620116301945
1.0,0.3,0.9743196964263916
1.0,0.2,0.978869012423924
1.0,0.1,0.9919865727424622
1.0,0.0,
