precision,recall,threshold
0.45454545454545453,1.0,0.041429528688802626
0.47619047619047616,1.0,0.054512071926202235
0.5,1.0,0.08845188841796141
0.5263157894736842,1.0,0.10907019542670672
0.5555555555555556,1.0,0.1634215829174572
0.5882352941176471,1.0,0.19469215089308514
0.5625,0.9,0.29020286137492757
0.6,0.9,0.3388738042851314
0.6428571428571429,0.9,0.33887597736978253
0.6923076923076923,0.9,0.34036106859983417
0.75,0.9,0.4431029163639197
0.7272727272727273,0.8,0.47183714218308487
0.7,0.7,0.4885225623479039
0.6666666666666666,0.6,0.5173579104304874
0.75,0.6,0.5373163992681085
0.8571428571428571,0.6,0.5719571635045346
0.8333333333333334,0.5,0.6048380473333567
1.0,0.5,0.6453629888261467
1.0,0.4,0.6918790744992119
1.0,0.3,0.8083970424895534
1.0,0.2,0.827789096858758
1.0,0.1,0.9013318966437812
1.0,0.0,
