seed,model,calibration,cases,auroc,auprc,accuracy,balanced_accuracy,brier,mean_dice,mean_iou,mean_off_target_components_per_case,classification_threshold,segmentation_threshold
42,HYBRID_TALON,raw,21,0.9074074074074074,0.8927128427128428,0.8095238095238095,0.8194444444444444,0.1268500274967799,0.5396164202136695,0.4223546118522763,36.142857142857146,0.5,0.2
42,HYBRID_TALON,calibrated,21,0.9074074074074074,0.8927128427128428,0.7142857142857143,0.7083333333333333,0.1242014127729412,0.5396164202136695,0.4223546118522763,36.142857142857146,0.5,0.2
42,UNET_MTL_MASK_GUIDED,raw,21,0.8333333333333334,0.8034391534391536,0.7619047619047619,0.7777777777777777,0.1818774657226049,0.4060238330478819,0.3029263185753658,24.428571428571427,0.5,0.55
42,UNET_MTL_MASK_GUIDED,calibrated,21,0.8333333333333334,0.8034391534391536,0.7619047619047619,0.75,0.2126429724677888,0.4060238330478819,0.3029263185753658,24.428571428571427,0.5,0.55
123,HYBRID_TALON,raw,22,0.8583333333333334,0.862265087853323,0.6363636363636364,0.6583333333333333,0.19416288232646,0.4601793375554327,0.3762918177203138,19.0,0.5,0.1
123,HYBRID_TALON,calibrated,22,0.8583333333333334,0.862265087853323,0.6818181818181818,0.675,0.1537408222384929,0.4601793375554327,0.3762918177203138,19.0,0.5,0.1
123,UNET_MTL_MASK_GUIDED,raw,22,0.875,0.8703711484593837,0.6363636363636364,0.6583333333333333,0.2131369382900535,0.4753096477177926,0.3802976150538646,18.318181818181817,0.5,0.75
123,UNET_MTL_MASK_GUIDED,calibrated,22,0.875,0.8703711484593837,0.7272727272727273,0.7083333333333333,0.1646570150771615,0.4753096477177926,0.3802976150538646,18.318181818181817,0.5,0.75
2026,HYBRID_TALON,raw,21,0.9814814814814814,0.9765432098765434,0.8095238095238095,0.8333333333333333,0.1328931771831207,0.505936747950707,0.3933973815126988,16.285714285714285,0.5,0.1
2026,HYBRID_TALON,calibrated,21,0.9814814814814814,0.9765432098765434,0.9523809523809524,0.9583333333333331,0.0753568164717415,0.505936747950707,0.3933973815126988,16.285714285714285,0.5,0.1
2026,UNET_MTL_MASK_GUIDED,raw,21,0.9814814814814814,0.9765432098765434,0.8095238095238095,0.8333333333333333,0.1775767965315266,0.4418296063164019,0.3414751476906371,19.285714285714285,0.5,0.9
2026,UNET_MTL_MASK_GUIDED,calibrated,21,0.9814814814814814,0.9765432098765434,0.8571428571428571,0.875,0.0957520733847789,0.4418296063164019,0.3414751476906371,19.285714285714285,0.5,0.9
31415,HYBRID_TALON,raw,21,0.8796296296296297,0.8241943241943244,0.7619047619047619,0.7638888888888888,0.1476750988566642,0.5276442638765843,0.4149758557503468,16.238095238095237,0.5,0.1
31415,HYBRID_TALON,calibrated,21,0.8796296296296297,0.8241943241943244,0.7142857142857143,0.7083333333333333,0.1527424328716526,0.5276442638765843,0.4149758557503468,16.238095238095237,0.5,0.1
31415,UNET_MTL_MASK_GUIDED,raw,21,0.8333333333333333,0.7614478114478116,0.7619047619047619,0.7777777777777777,0.1905615035888644,0.2889867917377267,0.218628510906434,18.857142857142858,0.5,0.9
31415,UNET_MTL_MASK_GUIDED,calibrated,21,0.8333333333333333,0.7614478114478116,0.6666666666666666,0.6666666666666666,0.1731633335645398,0.2889867917377267,0.218628510906434,18.857142857142858,0.5,0.9
27182,HYBRID_TALON,raw,21,0.898148148148148,0.9056048345264032,0.8095238095238095,0.8194444444444444,0.1387253656460892,0.6157987134052976,0.5059257363208067,26.52380952380953,0.5,0.15
27182,HYBRID_TALON,calibrated,21,0.898148148148148,0.9056048345264032,0.8571428571428571,0.8472222222222222,0.123294224977892,0.6157987134052976,0.5059257363208067,26.52380952380953,0.5,0.15
27182,UNET_MTL_MASK_GUIDED,raw,21,0.6666666666666666,0.5608465608465609,0.7142857142857143,0.7083333333333333,0.2194302446535977,0.5095497734818286,0.3932886379931491,24.19047619047619,0.5,0.9
27182,UNET_MTL_MASK_GUIDED,calibrated,21,0.6666666666666666,0.5608465608465609,0.6666666666666666,0.6388888888888888,0.2300028432891539,0.5095497734818286,0.3932886379931491,24.19047619047619,0.5,0.9
