model,minimum_area_px,no_overlap,partial_below_25,low_25_to_50,moderate_50_to_75,strong_75_plus,gt_total
HYBRID_TALON,1,34,20,20,67,159,300
HYBRID_TALON,10,39,15,20,67,159,300
HYBRID_TALON,25,44,10,20,67,159,300
UNET_MTL_MASK_GUIDED,1,39,28,34,65,134,300
UNET_MTL_MASK_GUIDED,10,41,26,35,64,134,300
UNET_MTL_MASK_GUIDED,25,48,20,34,64,134,300
