endpoint,method,model_a,model_b,difference,lower,upper,p_two_sided,wilcoxon_p
case_raw_auroc,paired SubjectID-clustered bootstrap,0.8583333333333334,0.875,-0.016666666666666607,-0.18527777777777743,0.1466764705882351,0.8672,
case_raw_auprc,paired SubjectID-clustered bootstrap,0.862265087853323,0.8703711484593837,-0.008106060606060672,-0.19638917506104994,0.15229492933537003,0.8908,
case_raw_brier,paired SubjectID-clustered bootstrap,0.19416288232646,0.21313693829005353,-0.018974055963593528,-0.10537529627826216,0.08386353519134564,0.6656,
case_raw_accuracy,exact McNemar,0.6363636363636364,0.6363636363636364,0.0,,,1.0,
case_calibrated_auroc,paired SubjectID-clustered bootstrap,0.8583333333333334,0.875,-0.016666666666666607,-0.18527777777777743,0.1466764705882351,0.8672,
case_calibrated_auprc,paired SubjectID-clustered bootstrap,0.862265087853323,0.8703711484593837,-0.008106060606060672,-0.19638917506104994,0.15229492933537003,0.8908,
case_calibrated_brier,paired SubjectID-clustered bootstrap,0.15374082223849295,0.16465701507716157,-0.010916192838668626,-0.08390231878906942,0.06572140904219385,0.786,
case_calibrated_accuracy,exact McNemar,0.6818181818181818,0.7272727272727273,-0.045454545454545525,,,1.0,
slice_dice,paired SubjectID-clustered bootstrap + Wilcoxon,0.4601793375554327,0.4753096477177926,-0.01513031016235993,-0.07700110472061028,0.037377804635807116,0.6224,0.06028919868092578
slice_iou,paired SubjectID-clustered bootstrap + Wilcoxon,0.37629181772031384,0.3802976150538646,-0.004005797333550733,-0.05637674800260177,0.041871189350435815,0.9012,0.04154677833423492
