model,minimum_area_px,no_overlap,partial_below_25,low_25_to_50,moderate_50_to_75,strong_75_plus,gt_total
HYBRID_TALON,1,33,28,20,72,125,278
HYBRID_TALON,10,43,19,19,72,125,278
HYBRID_TALON,25,51,13,18,71,125,278
UNET_MTL_MASK_GUIDED,1,78,20,19,65,96,278
UNET_MTL_MASK_GUIDED,10,81,17,19,65,96,278
UNET_MTL_MASK_GUIDED,25,84,14,19,65,96,278
