metric,estimate,lower,upper,valid_iterations
dice,0.4753096477177926,0.338708460747537,0.6136705180202361,5000
iou,0.3802976150538646,0.26061118277089557,0.5064865679970061,5000
pixel_sensitivity,0.5616804689316688,0.40050418306123464,0.7133950096055021,5000
pixel_specificity,0.9991533086069758,0.9988301529315649,0.9994043561122445,5000
pixel_precision,0.5558720466408078,0.4323124007667614,0.6721287791379904,5000
gt_coverage,0.5616804689316688,0.40050418306123464,0.7133950096055021,5000
prediction_purity,0.5558720466408078,0.4323124007667614,0.6721287791379904,5000
empty_prediction,0.09056603773584905,0.022813688212927757,0.1750930356193513,5000
missed_target,0.2792452830188679,0.1234525621511923,0.4487190812720848,5000
pred_gt_area_ratio,1.521132769559027,1.154419807863401,1.952257227812764,5000
