group_type,metric,n,mean,sd,median,q1,q3,ClassName,RoiSizeBin
overall,dice,228,0.28898679173772673,0.32554917852123244,0.10911536964863931,3.424657522518296e-09,0.6087655082166336,,
overall,iou,228,0.21862851090643412,0.2651137832428037,0.05772017984878576,3.424657522518296e-09,0.4375743745093223,,
overall,pixel_precision,228,0.34984218181810983,0.364059385621455,0.25910424939884374,1.0526315678670361e-08,0.6416280681972639,,
overall,pixel_sensitivity,228,0.39742791545030065,0.41960579854997243,0.21135848302817442,8.064516063995838e-09,0.8453125011499023,,
overall,gt_coverage,228,0.39742791545030065,0.41960579854997243,0.21135848302817442,8.064516063995838e-09,0.8453125011499023,,
overall,prediction_purity,228,0.34984218181810983,0.364059385621455,0.25910424939884374,1.0526315678670361e-08,0.6416280681972639,,
overall,pred_gt_area_ratio,228,2.502654962298929,4.6352874092144765,1.2884788884879104,0.5397050865800865,2.5205218516388728,,
overall,empty_prediction,228,0.09649122807017543,0.29591337718150046,0.0,0.0,0.0,,
overall,missed_target,228,0.4692982456140351,0.5001545475657031,0.0,0.0,1.0,,
class,dice,134,0.2724198813374932,0.33354744691660504,1.8543955699606032e-08,2.872046246148953e-09,0.618452360681375,IBC,
class,iou,134,0.21015452113248784,0.276268676689784,1.8543955699606032e-08,2.872046246148953e-09,0.44766320657026093,IBC,
class,pixel_precision,134,0.39988822101306626,0.395482103787795,0.2920156949844065,1.2820512656147274e-08,0.7924974990294877,IBC,
class,pixel_sensitivity,134,0.3722121634963064,0.42227530021396625,3.645833197699658e-08,6.994047570123536e-09,0.8569376040059851,IBC,
class,gt_coverage,134,0.3722121634963064,0.42227530021396625,3.645833197699658e-08,6.994047570123536e-09,0.8569376040059851,IBC,
class,prediction_purity,134,0.39988822101306626,0.395482103787795,0.2920156949844065,1.2820512656147274e-08,0.7924974990294877,IBC,
class,pred_gt_area_ratio,134,2.6035325452479734,5.430025162180095,1.147273425499232,0.24941667854089483,2.2651504941599283,IBC,
