metric,estimate,lower,upper,valid_iterations
dice,0.28898679173772673,0.17395044267544013,0.40481396187605007,5000
iou,0.21862851090643412,0.12838107822168662,0.3087416579382107,5000
pixel_sensitivity,0.39742791545030065,0.2346967417635942,0.5605999086645683,5000
pixel_specificity,0.9990454163031982,0.998700219067464,0.9993604115733675,5000
pixel_precision,0.34984218181810983,0.2639528323982165,0.4300083797880447,5000
gt_coverage,0.39742791545030065,0.2346967417635942,0.5605999086645683,5000
prediction_purity,0.34984218181810983,0.2639528323982165,0.4300083797880447,5000
empty_prediction,0.09649122807017543,0.03755721830985916,0.16093242616359962,5000
missed_target,0.4692982456140351,0.2838954420522217,0.65517608217168,5000
pred_gt_area_ratio,2.502654962298929,1.616490341865565,3.5102590366221467,5000
