model,minimum_area_px,no_overlap,partial_below_25,low_25_to_50,moderate_50_to_75,strong_75_plus,gt_total
HYBRID_TALON,1,85,12,23,36,110,266
HYBRID_TALON,10,92,5,24,35,110,266
HYBRID_TALON,25,97,1,24,34,110,266
UNET_MTL_MASK_GUIDED,1,75,9,20,52,110,266
UNET_MTL_MASK_GUIDED,10,76,8,20,52,110,266
UNET_MTL_MASK_GUIDED,25,81,4,19,52,110,266
