epoch,phase,split,total_loss,dice,classification_accuracy,balanced_accuracy,macro_f1,lesion_recall,segmentation_precision,empty_prediction_rate,missed_target_rate,pred_gt_area_ratio,localization_hit_rate,box_iou,checkpoint_score,learning_rate,loss_components.segmentation,loss_components.focal_bce,loss_components.tversky,loss_components.boundary,loss_components.classification,loss_components.location,loss_components.focus,loss_components.descriptor,loss_components.centroid,loss_components.low_prior,loss_components.outside_body,loss_components.candidate_recall,loss_components.doctor_ball,loss_components.segmentation_classification_coupling,loss_components.total,loss_components.common_checkpoint_score,loss_components.phase_selection_score
1,teacher1_anatomy_normal,train,0.8191904778619414,0.020005700377367652,0.5339805825242718,0.5294634071612488,0.45598591549295775,0.7371230837210868,0.010449881642803695,0.0,0.025485436893203883,122.95909857758517,0.9745145631067961,0.003752860556721001,0.0,8e-05,0.6895816031011562,0.1709297287087996,0.9894571755696269,0.03702026524228379,0.6518823842979172,0.5608185911641538,0.6156609486607671,139.18998509008907,0.14520957458366468,0.45436356137099776,0.24057783461311488,0.3500186534761225,0.46038198876149444,0.15697783224501657,0.8191904778619414,,
1,teacher1_anatomy_normal,validation,0.6971734321214319,0.024054232924207438,0.45528455284552843,0.5758720930232558,0.42551411641687,0.8433142348033625,0.012290867954129127,0.0,0.02032520325203252,74.78402010050252,0.9796747967479674,0.0015916989298454074,0.34096020381415754,0.0,0.6784835273657388,0.11710537424901636,0.9937086754698095,0.03296568075088951,0.7428791266146714,0.488989105554131,0.4882045327647915,36.97333334325775,0.15672623456978216,0.3891410822790813,0.24330883212690432,0.2196210814806504,0.3971333409227976,0.12439083150489544,0.6971734321214319,0.35335626266121395,0.34096020381415754
2,teacher1_anatomy_normal,train,0.6945078332447311,0.10278614142059701,0.6492718446601942,0.6555787413642687,0.6270821751556199,0.681502076896649,0.05974668603462791,0.0,0.13106796116504854,14.491888845504976,0.8689320388349514,0.004155065383979626,0.0,7.990743390987333e-05,0.6636291869635721,0.08861244715822553,0.9836880165396384,0.02078883048797985,0.5269602444565412,0.5110160141315275,0.4359648404190841,71.47949557628446,0.13533733597079528,0.35286509614546324,0.17107435388183131,0.2703501838214189,0.35601803110641184,0.20261943542841568,0.6945078332447311,,
2,teacher1_anatomy_normal,validation,0.7300920525217444,0.048175233393544105,0.3821138211382114,0.525,0.31305114638447973,0.7273100944069343,0.02534548228046274,0.0,0.052845528455284556,33.44103852596315,0.9471544715447154,0.001592063678611798,0.3344934641181326,0.0,0.6601121493471347,0.057334822125551174,0.990498913012869,0.019541774217675372,1.0720772336168987,0.4588593520769259,0.41969707341698126,37.248278641119235,0.12272944731440971,0.2435294516929766,0.13678572611595557,0.25367565883126686,0.2506606494023548,0.1569819393704032,0.7300920525217444,0.3079088462229757,0.3344934641181326
3,teacher1_anatomy_normal,train,0.66593739072096,0.13355907269762557,0.7439320388349514,0.7439320388349515,0.737292143574866,0.6801924262810679,0.08655182380699417,0.006067961165048544,0.14441747572815533,9.738878903617165,0.8555825242718447,0.004529617200283706,0.0,7.963018661217968e-05,0.6530034709902643,0.05902470131088229,0.9793016430243705,0.017012521714984793,0.4756137798133406,0.4861861933203577,0.3308602701691748,62.85562259711108,0.12816858870311848,0.27241532186281336,0.1285429818248286,0.26697918418252353,0.2740284467785104,0.24715188507316183,0.66593739072096,,
3,teacher1_anatomy_normal,validation,0.6912990968401839,0.053981531381122466,0.5609756097560976,0.6544331395348837,0.5552132860108485,0.8311469273838571,0.02855324137925617,0.0,0.044715447154471545,35.17750418760469,0.9552845528455285,0.0016658699401325453,0.3375614395432142,0.0,0.6539931903040506,0.04264431495249756,0.9869377491919975,0.018226027306987018,0.8960073549088424,0.4790372756438527,0.2734297438850248,33.87053711433721,0.1321234320843123,0.1960772741131666,0.10722464934839465,0.1579050615853895,0.200440319209564,0.186231173783147,0.6912990968401839,0.3932388071631268,0.3375614395432142
4,teacher1_anatomy_normal,train,0.6525426952584276,0.16695274172115673,0.7354368932038835,0.7203838889776972,0.7155254872896119,0.6377022602025745,0.1259888779932579,0.02063106796116505,0.17354368932038836,6.692217780538881,0.8264563106796117,0.004846308292997986,0.0,7.916960882788463e-05,0.6427681764352668,0.042521078555474004,0.9704126895052715,0.013696774804187052,0.47483112901738544,0.4660713198115525,0.2654355884466356,59.73528337941586,0.1135849931720391,0.1894970543465568,0.07469991486049393,0.27213733693928394,0.18944865494098478,0.24859976406814982,0.6525426952584276,,
4,teacher1_anatomy_normal,validation,0.7095793684323629,0.07176880902663721,0.43902439024390244,0.56875,0.39829847571783056,0.7050938955167445,0.03884685077378905,0.0,0.08536585365853659,21.231943048576216,0.9146341463414634,0.0016655780121105533,0.3331766433340275,0.0,0.6458884487307168,0.02625576309799179,0.9811695053325435,0.015643560395735067,1.0736796274417784,0.4223166200203624,0.24297812992964335,32.55528594226372,0.11720650740028397,0.12230630909524313,0.06061836014070162,0.25434067454643366,0.12490433769497444,0.17091322409148077,0.7095793684323629,0.32964175414462443,0.3331766433340275
5,teacher1_anatomy_normal,train,0.6297246373972847,0.21853133077615672,0.7682038834951457,0.7738567649281936,0.7667524760985904,0.664578802087932,0.22650124309855757,0.07524271844660194,0.22451456310679613,5.097780832983797,0.7754854368932039,0.018261688069738557,0.0,7.852794444565614e-05,0.6099946666689753,0.04655709017285155,0.9190697027641592,0.009601109181937663,0.46530851345617796,0.44638533441765793,0.22321709628822733,64.10222925723178,0.1030732691649673,0.08893908522299772,0.028647183490356484,0.2690524100461631,0.08727810696418424,0.24560260439960702,0.6297246373972847,,
5,teacher1_anatomy_normal,validation,0.6642686206150831,0.22580990413340127,0.44715447154471544,0.575,0.4096555618294748,0.6453260386862406,0.15338488768150166,0.0040650406504065045,0.15040650406504066,5.123651591289782,0.8495934959349594,0.01801122625390786,0.33780840725227995,0.0,0.5797263262717705,0.01624917417643516,0.884482169054388,0.007506509515933874,1.0727098666555512,0.42581659652353304,0.28388715202246256,37.05572261655234,0.10134120770101625,0.014672095198335686,0.0061781548826796255,0.2900744262264996,0.014628067748939119,0.14374957421824822,0.6642686206150831,0.3616711473980312,0.33780840725227995
