level,calibration,metric,estimate,lower,upper,valid_iterations,point_check
slice_subject_clustered,raw,auroc,0.863983488132095,0.659626325813567,0.9737285573254802,5000,0.863983488132095
slice_subject_clustered,raw,auprc,0.7447445011646391,0.46449051606403835,0.9411840549019096,5000,0.7447445011646391
slice_subject_clustered,raw,accuracy,0.7926421404682275,0.6148015873015874,0.9209054109150212,5000,0.7926421404682275
slice_subject_clustered,raw,balanced_accuracy,0.7721104231166152,0.5885051440566096,0.9142644146808631,5000,0.7721104231166152
slice_subject_clustered,raw,sensitivity,0.7157894736842105,0.4133260869565218,0.9433962264150944,5000,0.7157894736842105
slice_subject_clustered,raw,specificity,0.8284313725490197,0.6027102953767124,0.9583405172413793,5000,0.8284313725490197
slice_subject_clustered,raw,precision,0.6601941747572816,0.35788897426046873,0.9125135869565215,5000,0.6601941747572816
slice_subject_clustered,raw,f1,0.6868686868686869,0.4217687074829932,0.872182107250505,5000,0.6868686868686869
slice_subject_clustered,raw,macro_f1,0.7659343434343434,0.5782542906502844,0.902389532133591,5000,0.7659343434343434
slice_subject_clustered,raw,brier,0.15940518013232838,0.06095928077785082,0.3020609160891267,5000,0.15940518013232838
slice_subject_clustered,raw,ece,0.1308169562967625,0.050989440540748734,0.31163131359221363,5000,0.1308169562967625
slice_subject_clustered,raw,calibration_slope,0.5246931601272956,0.19924074797479804,1.108487424279247,5000,0.5246931601272956
slice_subject_clustered,raw,calibration_intercept,-0.5949271569398252,-2.117779008998033,0.6425632502635454,5000,-0.5949271569398252
slice_subject_clustered,calibrated,auroc,0.863983488132095,0.659626325813567,0.9737285573254802,5000,0.863983488132095
slice_subject_clustered,calibrated,auprc,0.7447445011646391,0.46449051606403835,0.9411840549019096,5000,0.7447445011646391
slice_subject_clustered,calibrated,accuracy,0.8060200668896321,0.6300337457817773,0.9218497182458748,5000,0.8060200668896321
slice_subject_clustered,calibrated,balanced_accuracy,0.7341073271413829,0.5978155694785497,0.8706188920414228,5000,0.7341073271413829
slice_subject_clustered,calibrated,sensitivity,0.5368421052631579,0.28735632183908044,0.803921568627451,5000,0.5368421052631579
slice_subject_clustered,calibrated,specificity,0.9313725490196079,0.8166522988505748,0.9891304347826086,5000,0.9313725490196079
slice_subject_clustered,calibrated,precision,0.7846153846153846,0.5,0.9636363636363636,5000,0.7846153846153846
slice_subject_clustered,calibrated,f1,0.6375,0.39096632112826446,0.8190501519756839,5000,0.6375
