metric,estimate,lower,upper,valid_iterations
dice,0.6157987134052976,0.5228324839405007,0.6978059828570414,5000
iou,0.5059257363208067,0.41764318942484047,0.5829685807606229,5000
pixel_sensitivity,0.6676539591803718,0.5569221186731903,0.7664755139592836,5000
pixel_specificity,0.9995372495012703,0.9994261702303459,0.9996444054214307,5000
pixel_precision,0.6470613363090731,0.5405530706633307,0.7195687946335154,5000
gt_coverage,0.6676539591803718,0.5569221186731903,0.7664755139592836,5000
prediction_purity,0.6470613363090731,0.5405530706633307,0.7195687946335154,5000
empty_prediction,0.020066889632107024,0.0,0.056074766355140186,5000
missed_target,0.11036789297658862,0.0504961115580585,0.182648401826484,5000
pred_gt_area_ratio,1.237202962507379,1.0015604084243406,1.4979881140408016,5000
