group_type,metric,n,mean,sd,median,q1,q3,ClassName,RoiSizeBin
overall,dice,299,0.6157987134052976,0.30493791473065324,0.7387574734237699,0.4802556874546238,0.8484412800601151,,
overall,iou,299,0.5059257363208067,0.28207097082751303,0.5857378402367116,0.3160119969531797,0.7367764370372254,,
overall,pixel_precision,299,0.6470613363090731,0.31201282932070556,0.7500000018382352,0.4530423318077951,0.8996566369779371,,
overall,pixel_sensitivity,299,0.6676539591803718,0.3316011619421648,0.8262331840513081,0.5277777832433126,0.9173917979544397,,
overall,gt_coverage,299,0.6676539591803718,0.3316011619421648,0.8262331840513081,0.5277777832433126,0.9173917979544397,,
overall,prediction_purity,299,0.6470613363090731,0.31201282932070556,0.7500000018382352,0.4530423318077951,0.8996566369779371,,
overall,pred_gt_area_ratio,299,1.237202962507379,0.9718119100343353,1.05,0.8250507631984316,1.4599358974358974,,
overall,empty_prediction,299,0.020066889632107024,0.14046421912019028,0.0,0.0,0.0,,
overall,missed_target,299,0.11036789297658862,0.3138730749102242,0.0,0.0,0.0,,
class,dice,204,0.6561962681356426,0.2928774417378619,0.771834131145107,0.5568026420094369,0.8605998928901976,IBC,
class,iou,204,0.5472686239466715,0.2759568541357903,0.6284469642518117,0.3858202068827731,0.7553157463435722,IBC,
class,pixel_precision,204,0.7167329945062529,0.2811858335847277,0.8238590156680192,0.6099388667025932,0.9206170432942798,IBC,
class,pixel_sensitivity,204,0.6923007975170486,0.32063026314686355,0.8451814434242202,0.5446640786624054,0.9201566717156029,IBC,
class,gt_coverage,204,0.6923007975170486,0.32063026314686355,0.8451814434242202,0.5446640786624054,0.9201566717156029,IBC,
class,prediction_purity,204,0.7167329945062529,0.2811858335847277,0.8238590156680192,0.6099388667025932,0.9206170432942798,IBC,
class,pred_gt_area_ratio,204,1.134258602819284,1.0053055263737032,1.0076093049327355,0.746914832408828,1.3024553571428572,IBC,
class,empty_prediction,204,0.029411764705882353,0.16937336568589237,0.0,0.0,0.0,IBC,
class,missed_target,204,0.09313725490196079,0.2913396284370632,0.0,0.0,0.0,IBC,
class,dice,95,0.5290502800896094,0.3136872608251303,0.6559485536077998,0.27337208285800607,0.7856361453588101,IGM,
class,iou,95,0.41714732499789686,0.2758690653802146,0.48803827873675054,0.1583291882304717,0.6469584583766069,IGM,
class,pixel_precision,95,0.4974506176540764,0.3236090075335101,0.5354838739646202,0.21032864100506168,0.7857586713408056,IGM,
class,pixel_sensitivity,95,0.6147281168574024,0.3499040011805463,0.77500000140625,0.3802604201497016,0.8912259618393756,IGM,
class,gt_coverage,95,0.6147281168574024,0.3499040011805463,0.77500000140625,0.3802604201497016,0.8912259618393756,IGM,
