bin,lower,upper,n,mean_predicted,observed_fraction
1,0.0,0.1,150,0.043776894174516204,0.12666666666666668
2,0.1,0.2,19,0.1601121707966453,0.05263157894736842
3,0.2,0.30000000000000004,10,0.23837729543447495,0.2
4,0.30000000000000004,0.4,11,0.35767987912351434,0.2727272727272727
5,0.4,0.5,6,0.46116041640440625,0.3333333333333333
6,0.5,0.6000000000000001,4,0.5527566522359848,0.5
7,0.6000000000000001,0.7000000000000001,13,0.6537259817123413,0.15384615384615385
8,0.7000000000000001,0.8,8,0.7671691328287125,0.75
9,0.8,0.9,14,0.8405918989862714,0.5714285714285714
10,0.9,1.0,64,0.9677867917343974,0.78125
