bin,lower,upper,n,mean_predicted,observed_fraction
1,0.0,0.1,169,0.04013290760817059,0.11834319526627218
2,0.1,0.2,25,0.14436495505935984,0.28
3,0.2,0.30000000000000004,14,0.2561322294108244,0.14285714285714285
4,0.30000000000000004,0.4,13,0.3478017816509925,0.6153846153846154
5,0.4,0.5,13,0.4399487213755769,0.5384615384615384
6,0.5,0.6000000000000001,7,0.548347128538431,0.7142857142857143
7,0.6000000000000001,0.7000000000000001,19,0.6611915084719285,0.7368421052631579
8,0.7000000000000001,0.8,19,0.7562009918246937,0.8947368421052632
9,0.8,0.9,20,0.8428060601683566,0.75
10,0.9,1.0,0,,
