level,calibration,metric,estimate,lower,upper,valid_iterations,point_check
slice_subject_clustered,raw,auroc,0.8742457923150206,0.6962134379156528,0.9761069715656047,5000,0.8742457923150206
slice_subject_clustered,raw,auprc,0.8019850388345915,0.475242626302676,0.9727519032816404,5000,0.8019850388345915
slice_subject_clustered,raw,accuracy,0.7763157894736842,0.6157402353226589,0.9026256242197253,5000,0.7763157894736842
slice_subject_clustered,raw,balanced_accuracy,0.7684185455700223,0.6144800762652588,0.8901567320692699,5000,0.7684185455700223
slice_subject_clustered,raw,sensitivity,0.723404255319149,0.5333333333333333,0.898876404494382,5000,0.723404255319149
slice_subject_clustered,raw,specificity,0.8134328358208955,0.5652173913043478,0.9748505801007851,5000,0.8134328358208955
slice_subject_clustered,raw,precision,0.7311827956989247,0.4230263157894739,0.961038961038961,5000,0.7311827956989247
slice_subject_clustered,raw,f1,0.7272727272727273,0.5041950638523126,0.8712871287128713,5000,0.7272727272727273
slice_subject_clustered,raw,macro_f1,0.7688408246029064,0.599518111232301,0.8884990691625431,5000,0.7688408246029064
slice_subject_clustered,raw,brier,0.16211090119832394,0.06932289795596731,0.2894847180890514,5000,0.16211090119832394
slice_subject_clustered,raw,ece,0.13260869618113105,0.06854223116823022,0.28141747372691545,5000,0.13260869618113105
slice_subject_clustered,raw,calibration_slope,0.565022391658305,0.24432326244886352,1.5058269064934293,5000,0.565022391658305
slice_subject_clustered,raw,calibration_intercept,-0.3233647618524541,-1.5022766308892055,1.5855805763681845,5000,-0.3233647618524541
slice_subject_clustered,calibrated,auroc,0.8742457923150206,0.6962134379156528,0.9761069715656047,5000,0.8742457923150206
slice_subject_clustered,calibrated,auprc,0.8019850388345915,0.475242626302676,0.9727519032816404,5000,0.8019850388345915
slice_subject_clustered,calibrated,accuracy,0.7456140350877193,0.5767160017160018,0.890641983695652,5000,0.7456140350877193
slice_subject_clustered,calibrated,balanced_accuracy,0.708955223880597,0.5640016853887388,0.840180823419484,5000,0.708955223880597
slice_subject_clustered,calibrated,sensitivity,0.5,0.2870933521923622,0.7280017543859648,5000,0.5
slice_subject_clustered,calibrated,specificity,0.917910447761194,0.725,1.0,5000,0.917910447761194
slice_subject_clustered,calibrated,precision,0.8103448275862069,0.4406779661016949,1.0,5000,0.8103448275862069
slice_subject_clustered,calibrated,f1,0.618421052631579,0.3703548085901028,0.805757141859328,5000,0.618421052631579
slice_subject_clustered,calibrated,macro_f1,0.7138157894736843,0.5449197423512082,0.854029090587686,5000,0.7138157894736843
slice_subject_clustered,calibrated,brier,0.1750360361391589,0.09153818769418197,0.27114537431498387,5000,0.1750360361391589
slice_subject_clustered,calibrated,ece,0.16122138472244074,0.08359159062578923,0.3102799595010262,5000,0.16122138472244074
slice_subject_clustered,calibrated,calibration_slope,1.2611651704931388,0.5457383732620559,3.367473156004495,5000,1.2611651704931388
slice_subject_clustered,calibrated,calibration_intercept,1.0237856204760571,-0.41422637727088457,4.885206303308426,5000,1.0237856204760571
case_subject_clustered,raw,auroc,0.8796296296296297,0.6938775510204082,1.0,5000,0.8796296296296297
case_subject_clustered,raw,auprc,0.8241943241943244,0.5555555555555556,1.0,5000,0.8241943241943244
case_subject_clustered,raw,accuracy,0.7619047619047619,0.5714285714285714,0.9047619047619048,5000,0.7619047619047619
case_subject_clustered,raw,balanced_accuracy,0.7638888888888888,0.5694444444444444,0.9333333333333333,5000,0.7638888888888888
case_subject_clustered,raw,sensitivity,0.7777777777777778,0.4444444444444444,1.0,5000,0.7777777777777778
case_subject_clustered,raw,specificity,0.75,0.4666666666666667,1.0,5000,0.75
case_subject_clustered,raw,precision,0.7,0.4,1.0,5000,0.7
case_subject_clustered,raw,f1,0.7368421052631579,0.4444444444444444,0.9230769230769231,5000,0.7368421052631579
case_subject_clustered,raw,macro_f1,0.7597254004576659,0.5552941176470588,0.9045454545454545,5000,0.7597254004576659
case_subject_clustered,raw,brier,0.14767509885666424,0.061309497935511305,0.25505802537717165,5000,0.14767509885666424
case_subject_clustered,raw,ece,0.18555223783966796,0.1187260153159924,0.3529455282122378,5000,0.18555223783966796
case_subject_clustered,raw,calibration_slope,0.8407350276662728,0.38858455884894266,28.15579050264123,5000,0.8407350276662728
case_subject_clustered,raw,calibration_intercept,-0.25257693576653334,-1.9797532570888805,23.104475856667356,5000,-0.25257693576653334
case_subject_clustered,calibrated,auroc,0.8796296296296297,0.6938775510204082,1.0,5000,0.8796296296296297
case_subject_clustered,calibrated,auprc,0.8241943241943244,0.5555555555555556,1.0,5000,0.8241943241943244
case_subject_clustered,calibrated,accuracy,0.7142857142857143,0.5238095238095238,0.9047619047619048,5000,0.7142857142857143
case_subject_clustered,calibrated,balanced_accuracy,0.7083333333333333,0.4951923076923077,0.9,5000,0.7083333333333333
case_subject_clustered,calibrated,sensitivity,0.6666666666666666,0.3333333333333333,1.0,5000,0.6666666666666666
case_subject_clustered,calibrated,specificity,0.75,0.4666666666666667,1.0,5000,0.75
case_subject_clustered,calibrated,precision,0.6666666666666666,0.3333333333333333,1.0,5000,0.6666666666666666
case_subject_clustered,calibrated,f1,0.6666666666666666,0.35294117647058826,0.88,5000,0.6666666666666666
case_subject_clustered,calibrated,macro_f1,0.7083333333333333,0.4761607142857144,0.8990384615384616,5000,0.7083333333333333
case_subject_clustered,calibrated,brier,0.15274243287165257,0.09236383774635486,0.22406217368181439,5000,0.15274243287165257
case_subject_clustered,calibrated,ece,0.21777938469628444,0.1683992915921491,0.3720344774415729,5000,0.21777938469628444
case_subject_clustered,calibrated,calibration_slope,1.625610348279114,0.7518590294400294,51.34523907156435,5000,1.625610348279114
case_subject_clustered,calibrated,calibration_intercept,0.04279733056185164,-1.474193608714924,30.53479174855403,5000,0.04279733056185164
