bin,lower,upper,n,mean_predicted,observed_fraction
1,0.0,0.1,10,0.07611937038600444,0.1
2,0.1,0.2,23,0.14851756879816885,0.0
3,0.2,0.30000000000000004,23,0.25693486695704254,0.043478260869565216
4,0.30000000000000004,0.4,26,0.35895826724859387,0.19230769230769232
5,0.4,0.5,30,0.45519141654173534,0.43333333333333335
6,0.5,0.6000000000000001,25,0.5505669832229614,0.56
7,0.6000000000000001,0.7000000000000001,22,0.6451904015107588,0.5909090909090909
8,0.7000000000000001,0.8,28,0.7361290412289756,0.5357142857142857
9,0.8,0.9,26,0.8496521986447848,0.7692307692307693
10,0.9,1.0,15,0.9466963807741801,0.8
