precision,recall,threshold
0.42857142857142855,1.0,0.1785289479986481
0.45,1.0,0.2213648285554803
0.47368421052631576,1.0,0.261083039854254
0.5,1.0,0.3514951364352153
0.5294117647058824,1.0,0.3972706539290292
0.5625,1.0,0.4727734246037223
0.6,1.0,0.48807130115372793
0.6428571428571429,1.0,0.4886593388186561
0.6153846153846154,0.8888888888888888,0.49392260185309816
0.6666666666666666,0.8888888888888888,0.5318095717165205
0.6363636363636364,0.7777777777777778,0.5494278719027837
0.6,0.6666666666666666,0.5633454355928633
0.6666666666666666,0.6666666666666666,0.5733674714962641
0.75,0.6666666666666666,0.6182351633906364
0.8571428571428571,0.6666666666666666,0.628923375159502
0.8333333333333334,0.5555555555555556,0.6545942766325814
0.8,0.4444444444444444,0.6821888749088559
0.75,0.3333333333333333,0.7200291923114231
0.6666666666666666,0.2222222222222222,0.7968257341999561
0.5,0.1111111111111111,0.8039421072373023
1.0,0.1111111111111111,0.8276964209296487
1.0,0.0,
