bin,lower,upper,n,mean_predicted,observed_fraction
1,0.0,0.1,34,0.06745428429122732,0.029411764705882353
2,0.1,0.2,62,0.15129922724819203,0.1935483870967742
3,0.2,0.30000000000000004,51,0.244780084630957,0.5294117647058824
4,0.30000000000000004,0.4,35,0.3478860391637846,0.5142857142857142
5,0.4,0.5,19,0.45849538370486415,0.8947368421052632
6,0.5,0.6000000000000001,12,0.5271005120826802,0.5833333333333334
7,0.6000000000000001,0.7000000000000001,8,0.6498694985984479,0.75
8,0.7000000000000001,0.8,7,0.7508911979776104,0.8571428571428571
9,0.8,0.9,0,,
10,0.9,1.0,0,,
