metric,estimate,lower,upper,valid_iterations
dice,0.4601793375554327,0.3216691834955861,0.5930477681109713,5000
iou,0.37629181772031384,0.25259185266761675,0.497012339802901,5000
pixel_sensitivity,0.5084663948075554,0.35684661381432586,0.6564594162857,5000
pixel_specificity,0.9994234850694131,0.9991172656661488,0.9996477354135552,5000
pixel_precision,0.5741700476723679,0.41833072006787303,0.7116464226834199,5000
gt_coverage,0.5084663948075554,0.35684661381432586,0.6564594162857,5000
prediction_purity,0.5741700476723679,0.41833072006787303,0.7116464226834199,5000
empty_prediction,0.1018867924528302,0.010198979591836755,0.21333707865168536,5000
missed_target,0.3169811320754717,0.1525350419330245,0.49477351916376305,5000
pred_gt_area_ratio,1.2422702828141399,0.9096132521665258,1.6150013363316864,5000
