model,minimum_area_px,no_overlap,partial_below_25,low_25_to_50,moderate_50_to_75,strong_75_plus,gt_total
HYBRID_TALON,1,38,14,26,50,102,230
HYBRID_TALON,10,44,9,26,49,102,230
HYBRID_TALON,25,51,3,25,49,102,230
UNET_MTL_MASK_GUIDED,1,109,9,18,41,53,230
UNET_MTL_MASK_GUIDED,10,114,4,18,41,53,230
UNET_MTL_MASK_GUIDED,25,115,3,18,41,53,230
