bin,lower,upper,n,mean_predicted,observed_fraction
1,0.0,0.1,4,0.027778358464007544,0.0
2,0.1,0.2,1,0.18981445749167503,0.0
3,0.2,0.30000000000000004,1,0.20207264034603883,1.0
4,0.30000000000000004,0.4,3,0.33594460223962247,0.0
5,0.4,0.5,7,0.4618197476741136,0.5714285714285714
6,0.5,0.6000000000000001,1,0.5965105975647991,1.0
7,0.6000000000000001,0.7000000000000001,0,,
8,0.7000000000000001,0.8,2,0.7885302271706398,0.5
9,0.8,0.9,2,0.852999263190634,1.0
10,0.9,1.0,1,0.914687652542799,1.0
