bin,lower,upper,n,mean_predicted,observed_fraction
1,0.0,0.1,67,0.047271967156609494,0.0
2,0.1,0.2,19,0.1466021565230269,0.10526315789473684
3,0.2,0.30000000000000004,10,0.2386258900165558,0.1
4,0.30000000000000004,0.4,16,0.3361228834837675,0.3125
5,0.4,0.5,9,0.45481154984898037,0.4444444444444444
6,0.5,0.6000000000000001,13,0.5605087692920978,0.23076923076923078
7,0.6000000000000001,0.7000000000000001,18,0.6482837200164795,0.3888888888888889
8,0.7000000000000001,0.8,26,0.7497064975591806,0.38461538461538464
9,0.8,0.9,26,0.8607037686384641,0.46153846153846156
10,0.9,1.0,61,0.9712527716746095,0.7213114754098361
