false_positive_rate,true_positive_rate,threshold
0.0,0.0,inf
0.0,0.011363636363636364,0.9985978007316589
0.005649717514124294,0.011363636363636364,0.9982293248176575
0.005649717514124294,0.03409090909090909,0.9979068040847778
0.011299435028248588,0.03409090909090909,0.9977774024009705
0.011299435028248588,0.17045454545454544,0.9913049936294556
0.01694915254237288,0.17045454545454544,0.9903523325920105
0.01694915254237288,0.19318181818181818,0.987247109413147
0.022598870056497175,0.19318181818181818,0.9861202239990234
0.022598870056497175,0.2159090909090909,0.9856210350990295
0.02824858757062147,0.2159090909090909,0.9853455424308777
0.02824858757062147,0.2727272727272727,0.9825117588043213
0.02824858757062147,0.3181818181818182,0.9783080220222473
0.02824858757062147,0.3409090909090909,0.9751905798912048
0.03954802259887006,0.3409090909090909,0.9716796875
0.03954802259887006,0.3522727272727273,0.9700577259063721
0.05084745762711865,0.3522727272727273,0.9679909944534302
0.05084745762711865,0.375,0.9652515053749084
0.05649717514124294,0.375,0.9625129103660583
0.05649717514124294,0.4090909090909091,0.9574495553970337
0.06779661016949153,0.4090909090909091,0.9536049365997314
0.06779661016949153,0.42045454545454547,0.952515721321106
0.07909604519774012,0.42045454545454547,0.9437130689620972
0.07909604519774012,0.4318181818181818,0.942907452583313
0.0847457627118644,0.4318181818181818,0.9397541284561157
0.0847457627118644,0.4431818181818182,0.9386770725250244
0.0903954802259887,0.4431818181818182,0.9312418699264526
0.0903954802259887,0.45454545454545453,0.9237917065620422
0.096045197740113,0.45454545454545453,0.9214856028556824
0.096045197740113,0.5340909090909091,0.8874170780181885
0.1016949152542373,0.5340909090909091,0.8867242336273193
0.1016949152542373,0.5568181818181818,0.8812623620033264
0.11864406779661017,0.5568181818181818,0.8732521533966064
0.11864406779661017,0.5681818181818182,0.8725323677062988
0.12429378531073447,0.5681818181818182,0.8716570734977722
0.12429378531073447,0.5909090909090909,0.8630183935165405
0.14689265536723164,0.5909090909090909,0.8544490337371826
0.14689265536723164,0.6022727272727273,0.8535891175270081
0.15254237288135594,0.6022727272727273,0.8524107336997986
0.15254237288135594,0.625,0.8494042754173279
0.15819209039548024,0.625,0.8483471274375916
0.15819209039548024,0.6363636363636364,0.8235391974449158
0.1807909604519774,0.6363636363636364,0.7965310215950012
0.1807909604519774,0.6818181818181818,0.7799973487854004
0.192090395480226,0.6818181818181818,0.7657454609870911
0.192090395480226,0.6931818181818182,0.764879584312439
0.2033898305084746,0.6931818181818182,0.7540220022201538
0.2033898305084746,0.7045454545454546,0.7503639459609985
0.23728813559322035,0.7045454545454546,0.7364144921302795
0.23728813559322035,0.7159090909090909,0.7355186343193054
0.2542372881355932,0.7159090909090909,0.7318339347839355
0.2542372881355932,0.75,0.7238811254501343
0.2655367231638418,0.75,0.7018733620643616
0.2655367231638418,0.7613636363636364,0.6888628005981445
0.288135593220339,0.7613636363636364,0.6767004728317261
0.288135593220339,0.7954545454545454,0.6480910778045654
0.3220338983050847,0.7954545454545454,0.6227501034736633
0.3220338983050847,0.8295454545454546,0.606897234916687
0.327683615819209,0.8295454545454546,0.60495525598526
0.327683615819209,0.8409090909090909,0.5928230881690979
0.3389830508474576,0.8409090909090909,0.5804006457328796
0.3389830508474576,0.8522727272727273,0.5728616714477539
0.3615819209039548,0.8522727272727273,0.554913341999054
0.3615819209039548,0.8636363636363636,0.5515140891075134
0.3898305084745763,0.8636363636363636,0.4937574863433838
0.3898305084745763,0.8863636363636364,0.4886029362678528
0.4011299435028249,0.8863636363636364,0.43962201476097107
0.4011299435028249,0.8977272727272727,0.43318310379981995
0.4067796610169492,0.8977272727272727,0.4310569763183594
0.4067796610169492,0.9090909090909091,0.42437028884887695
0.4124293785310734,0.9090909090909091,0.40929386019706726
0.4124293785310734,0.9204545454545454,0.3950979709625244
0.4350282485875706,0.9204545454545454,0.35827305912971497
0.4350282485875706,0.9318181818181818,0.330596923828125
0.4632768361581921,0.9318181818181818,0.31675413250923157
0.4632768361581921,0.9545454545454546,0.31002768874168396
0.4689265536723164,0.9545454545454546,0.3079301714897156
0.4689265536723164,0.9659090909090909,0.3015783727169037
0.480225988700565,0.9659090909090909,0.2962513267993927
0.480225988700565,0.9772727272727273,0.26406487822532654
0.5819209039548022,0.9772727272727273,0.14138475060462952
0.5819209039548022,0.9886363636363636,0.13004282116889954
0.615819209039548,0.9886363636363636,0.11024561524391174
0.615819209039548,1.0,0.10504729300737381
1.0,1.0,0.013802307657897472
