precision,recall,threshold
0.35319148936170214,1.0,0.01322227746619842
0.3547008547008547,1.0,0.014368004238133643
0.3562231759656652,1.0,0.014659744020334008
0.3577586206896552,1.0,0.016213237484853024
0.3593073593073593,1.0,0.018599573339767906
0.36086956521739133,1.0,0.020066052251185594
0.3624454148471616,1.0,0.02036981676093457
0.36403508771929827,1.0,0.022646623743953775
0.3656387665198238,1.0,0.024166584821928523
0.3672566371681416,1.0,0.024404612483598456
0.3688888888888889,1.0,0.027507686592901728
0.3705357142857143,1.0,0.02875883254527843
0.3721973094170404,1.0,0.028865233112679276
0.3738738738738739,1.0,0.02916151223788642
0.3755656108597285,1.0,0.02943646439053706
0.37727272727272726,1.0,0.02952563134751879
0.3789954337899543,1.0,0.02953688351296616
0.38073394495412843,1.0,0.029790035812327007
0.3824884792626728,1.0,0.029845821053775905
0.38425925925925924,1.0,0.029941718504481154
0.386046511627907,1.0,0.03123480331702359
0.3878504672897196,1.0,0.031392674536345984
0.38967136150234744,1.0,0.03203725580148815
0.3915094339622642,1.0,0.033264774044191245
0.3933649289099526,1.0,0.033360091589784154
0.3952380952380952,1.0,0.03413860283783109
0.39712918660287083,1.0,0.03484807716328914
0.39903846153846156,1.0,0.035084600785960554
0.40096618357487923,1.0,0.0352997792353098
0.4029126213592233,1.0,0.036882000251967334
0.40487804878048783,1.0,0.03703378973793196
0.4068627450980392,1.0,0.037823753099356504
0.4088669950738916,1.0,0.03821388818043884
0.41089108910891087,1.0,0.03859813306237071
0.4129353233830846,1.0,0.03908568611050521
0.415,1.0,0.03930352655139729
0.41708542713567837,1.0,0.04252918441363826
0.41919191919191917,1.0,0.042826873928214416
0.4213197969543147,1.0,0.043132771515464234
0.42346938775510207,1.0,0.04323119520479508
0.4256410256410256,1.0,0.043624759571518776
0.42783505154639173,1.0,0.04372931375942819
0.43005181347150256,1.0,0.04444292902516778
0.4322916666666667,1.0,0.04474640670265131
0.43455497382198954,1.0,0.04487170315315599
0.4368421052631579,1.0,0.04492578173018345
0.43915343915343913,1.0,0.045588067946524174
0.44148936170212766,1.0,0.04602657874894371
0.44385026737967914,1.0,0.046996066599454704
0.44623655913978494,1.0,0.0477301948845591
0.4486486486486487,1.0,0.04773427511988425
0.45108695652173914,1.0,0.04804056742882973
0.453551912568306,1.0,0.048083797424416805
0.45604395604395603,1.0,0.04879435514891394
0.4585635359116022,1.0,0.04912618824325036
0.46111111111111114,1.0,0.051452981038009195
0.46368715083798884,1.0,0.0515979849024061
0.46629213483146065,1.0,0.0518695209459884
0.4689265536723164,1.0,0.05241585020195223
0.4715909090909091,1.0,0.053784413934391984
0.4742857142857143,1.0,0.05405798504495275
0.47701149425287354,1.0,0.05498550000125961
0.4797687861271676,1.0,0.055580224292043824
0.48255813953488375,1.0,0.056050689482635876
0.4853801169590643,1.0,0.05835356258227294
0.48823529411764705,1.0,0.061791315674764015
0.4911242603550296,1.0,0.06241167324698174
0.49404761904761907,1.0,0.06326311105479512
0.49700598802395207,1.0,0.06916056353377768
0.5,1.0,0.06955218430085981
0.503030303030303,1.0,0.071327315101267
0.5060975609756098,1.0,0.07333091082972841
0.50920245398773,1.0,0.07420140830076236
0.5123456790123457,1.0,0.0764666117283156
0.515527950310559,1.0,0.07806585324797234
0.51875,1.0,0.08105689845952321
0.5220125786163522,1.0,0.08219210977749809
0.5253164556962026,1.0,0.08568639009121676
0.5286624203821656,1.0,0.08751182974205025
0.532051282051282,1.0,0.08892679080663896
0.535483870967742,1.0,0.09021010890952345
