bin,lower,upper,n,mean_predicted,observed_fraction
1,0.0,0.1,90,0.05028837399135699,0.0
2,0.1,0.2,27,0.13383592779941697,0.0
3,0.2,0.30000000000000004,5,0.25915284810949135,0.4
4,0.30000000000000004,0.4,5,0.3568843556629365,0.0
5,0.4,0.5,13,0.4498724937847202,0.5384615384615384
6,0.5,0.6000000000000001,22,0.5464949218999355,0.5909090909090909
7,0.6000000000000001,0.7000000000000001,22,0.6521368103019407,0.6363636363636364
8,0.7000000000000001,0.8,18,0.7439484705744106,0.8888888888888888
9,0.8,0.9,23,0.8578814429870247,0.9565217391304348
10,0.9,1.0,10,0.9265867696543794,0.9
