false_positive_rate,true_positive_rate,threshold
0.0,0.0,inf
0.0,0.012048192771084338,0.947680937378876
0.0,0.04819277108433735,0.9315321472490021
0.006578947368421052,0.04819277108433735,0.9236058857968363
0.006578947368421052,0.30120481927710846,0.8435089484456364
0.013157894736842105,0.30120481927710846,0.8419919717921517
0.013157894736842105,0.5180722891566265,0.7370419818484678
0.019736842105263157,0.5180722891566265,0.7199082363417026
0.019736842105263157,0.5301204819277109,0.7196465564640283
0.02631578947368421,0.5301204819277109,0.7104935857517031
0.02631578947368421,0.5783132530120482,0.6975639530538751
0.03289473684210526,0.5783132530120482,0.6889562727650498
0.03289473684210526,0.6144578313253012,0.6793552851652771
0.046052631578947366,0.6144578313253012,0.6741693093118186
0.046052631578947366,0.6626506024096386,0.652980874794313
0.05921052631578947,0.6626506024096386,0.6463899706404698
0.05921052631578947,0.6867469879518072,0.6393548561686896
0.06578947368421052,0.6867469879518072,0.639293530126045
0.06578947368421052,0.7349397590361446,0.6118710788558461
0.07894736842105263,0.7349397590361446,0.6001757784301635
0.07894736842105263,0.7469879518072289,0.5881011060646303
0.08552631578947369,0.7469879518072289,0.5878177556613885
0.08552631578947369,0.8072289156626506,0.5669761721367049
0.09868421052631579,0.8072289156626506,0.5573064337452805
0.09868421052631579,0.8313253012048193,0.5463733294886159
0.11842105263157894,0.8313253012048193,0.5364052970216591
0.11842105263157894,0.8433734939759037,0.5322623240506321
0.125,0.8433734939759037,0.5202526278834789
0.125,0.8795180722891566,0.5092049457571671
0.13157894736842105,0.8795180722891566,0.5060010428812491
0.13157894736842105,0.891566265060241,0.5059041698868698
0.13815789473684212,0.891566265060241,0.5046678359694815
0.13815789473684212,0.9036144578313253,0.49872307792858994
0.1513157894736842,0.9036144578313253,0.4923280806632378
0.1513157894736842,0.9156626506024096,0.4864733053906349
0.15789473684210525,0.9156626506024096,0.4704645563771851
0.15789473684210525,0.963855421686747,0.420175034910925
0.16447368421052633,0.963855421686747,0.4191556443011114
0.16447368421052633,0.9759036144578314,0.4170210761552532
0.21710526315789475,0.9759036144578314,0.29730049247445406
0.21710526315789475,0.9879518072289156,0.2965842236247146
0.23026315789473684,0.9879518072289156,0.22943151924543528
0.23026315789473684,1.0,0.22928336767755017
1.0,1.0,0.01322227746619842
