bin,lower,upper,n,mean_predicted,observed_fraction
1,0.0,0.1,1,0.05893032235855406,0.0
2,0.1,0.2,3,0.138660533333765,0.0
3,0.2,0.30000000000000004,2,0.25427844675330374,0.0
4,0.30000000000000004,0.4,1,0.35029173439199274,0.0
5,0.4,0.5,1,0.49306533428338856,0.0
6,0.5,0.6000000000000001,0,,
7,0.6000000000000001,0.7000000000000001,0,,
8,0.7000000000000001,0.8,1,0.7585671663284301,0.0
9,0.8,0.9,0,,
10,0.9,1.0,12,0.9633414587599977,0.75
