bin,lower,upper,n,mean_predicted,observed_fraction
1,0.0,0.1,6,0.03580296003516026,0.0
2,0.1,0.2,2,0.10939937675060252,0.0
3,0.2,0.30000000000000004,2,0.28058736144808494,0.5
4,0.30000000000000004,0.4,0,,
5,0.4,0.5,2,0.45982670826557603,1.0
6,0.5,0.6000000000000001,1,0.5580521846327368,0.0
7,0.6000000000000001,0.7000000000000001,4,0.6399698509391978,0.5
8,0.7000000000000001,0.8,0,,
9,0.8,0.9,0,,
10,0.9,1.0,4,0.9389554479341231,1.0
