bin,lower,upper,n,mean_predicted,observed_fraction
1,0.0,0.1,98,0.0400692222791971,0.0
2,0.1,0.2,36,0.14602326850096384,0.1111111111111111
3,0.2,0.30000000000000004,17,0.24691724163644455,0.35294117647058826
4,0.30000000000000004,0.4,12,0.3539821058511734,0.25
5,0.4,0.5,10,0.44960040152072905,0.5
6,0.5,0.6000000000000001,6,0.5792890985806783,0.6666666666666666
7,0.6000000000000001,0.7000000000000001,7,0.6342434287071228,0.7142857142857143
8,0.7000000000000001,0.8,13,0.7468802837225107,0.38461538461538464
9,0.8,0.9,17,0.8671752179370207,0.5294117647058824
10,0.9,1.0,61,0.9555420738751771,0.7049180327868853
