endpoint,method,model_a,model_b,difference,lower,upper,p_two_sided,wilcoxon_p
case_raw_auroc,paired SubjectID-clustered bootstrap,0.8796296296296297,0.8333333333333333,0.04629629629629639,-0.10301187782805396,0.20408163265306123,0.562,
case_raw_auprc,paired SubjectID-clustered bootstrap,0.8241943241943244,0.7614478114478116,0.06274651274651277,-0.13889790764790766,0.2615273962148959,0.568,
case_raw_brier,paired SubjectID-clustered bootstrap,0.14767509885666424,0.19056150358886445,-0.042886404732200206,-0.11544161241216533,0.03292105251008254,0.2612,
case_raw_accuracy,exact McNemar,0.7619047619047619,0.7619047619047619,0.0,,,1.0,
case_calibrated_auroc,paired SubjectID-clustered bootstrap,0.8796296296296297,0.8333333333333333,0.04629629629629639,-0.10301187782805396,0.20408163265306123,0.562,
case_calibrated_auprc,paired SubjectID-clustered bootstrap,0.8241943241943244,0.7614478114478116,0.06274651274651277,-0.13889790764790766,0.2615273962148959,0.568,
case_calibrated_brier,paired SubjectID-clustered bootstrap,0.1527424328716526,0.17316333356453983,-0.02042090069288724,-0.07959595530871051,0.04035265709736319,0.4916,
case_calibrated_accuracy,exact McNemar,0.7142857142857143,0.6666666666666666,0.04761904761904767,,,1.0,
slice_dice,paired SubjectID-clustered bootstrap + Wilcoxon,0.5276442638765843,0.28898679173772673,0.23865747213885743,0.1300507661227104,0.35166567016417516,0.0,2.589645337547949e-24
slice_iou,paired SubjectID-clustered bootstrap + Wilcoxon,0.4149758557503468,0.21862851090643406,0.1963473448439127,0.11609406488801682,0.28191685316015064,0.0,1.6274161789224235e-24
