model,calibration,cases,auroc,auprc,accuracy,balanced_accuracy,brier,mean_dice,mean_iou,mean_off_target_components_per_case,classification_threshold,segmentation_threshold
HYBRID_TALON,raw,21,0.8796296296296297,0.8241943241943244,0.7619047619047619,0.7638888888888888,0.14767509885666424,0.5276442638765843,0.4149758557503468,16.238095238095237,0.5,0.1
HYBRID_TALON,calibrated,21,0.8796296296296297,0.8241943241943244,0.7142857142857143,0.7083333333333333,0.1527424328716526,0.5276442638765843,0.4149758557503468,16.238095238095237,0.5,0.1
UNET_MTL_MASK_GUIDED,raw,21,0.8333333333333333,0.7614478114478116,0.7619047619047619,0.7777777777777777,0.19056150358886445,0.28898679173772673,0.21862851090643406,18.857142857142858,0.5,0.9
UNET_MTL_MASK_GUIDED,calibrated,21,0.8333333333333333,0.7614478114478116,0.6666666666666666,0.6666666666666666,0.17316333356453983,0.28898679173772673,0.21862851090643406,18.857142857142858,0.5,0.9
