false_positive_rate,true_positive_rate,threshold
0.0,0.0,inf
0.08333333333333333,0.0,0.6219303107960176
0.16666666666666666,0.0,0.6188950947412897
0.16666666666666666,0.5555555555555556,0.4092706239253003
0.25,0.5555555555555556,0.3608717005764665
0.25,0.6666666666666666,0.3030628251316704
0.4166666666666667,0.6666666666666666,0.2417049198693767
0.4166666666666667,0.7777777777777778,0.2326474299037857
0.5833333333333334,0.7777777777777778,0.1859026649498101
0.5833333333333334,0.8888888888888888,0.1652278005766617
0.9166666666666666,0.8888888888888888,0.0826878686724156
0.9166666666666666,1.0,0.0492769845829582
1.0,1.0,0.0295658582511163
