bin,lower,upper,n,mean_predicted,observed_fraction
1,0.0,0.1,86,0.06173707076547616,0.13953488372093023
2,0.1,0.2,63,0.15946406570118882,0.15873015873015872
3,0.2,0.30000000000000004,52,0.23957372636676547,0.40384615384615385
4,0.30000000000000004,0.4,35,0.3503047767376259,0.45714285714285713
5,0.4,0.5,31,0.45709824300993773,0.6129032258064516
6,0.5,0.6000000000000001,18,0.5513002330627056,0.4444444444444444
7,0.6000000000000001,0.7000000000000001,8,0.6363477011185814,0.375
8,0.7000000000000001,0.8,3,0.7466640913402397,1.0
9,0.8,0.9,3,0.8307714620119886,1.0
10,0.9,1.0,0,,
