bin,lower,upper,n,mean_predicted,observed_fraction
1,0.0,0.1,41,0.07916983507755322,0.0
2,0.1,0.2,45,0.15668977035416493,0.26666666666666666
3,0.2,0.30000000000000004,24,0.2604144439101219,0.08333333333333333
4,0.30000000000000004,0.4,43,0.3516543500645216,0.2558139534883721
5,0.4,0.5,42,0.4464436684335981,0.3333333333333333
6,0.5,0.6000000000000001,21,0.5521199816749209,0.47619047619047616
7,0.6000000000000001,0.7000000000000001,27,0.6462919535460295,0.5185185185185185
8,0.7000000000000001,0.8,31,0.7391600320416112,0.6129032258064516
9,0.8,0.9,19,0.8309369777378283,0.3684210526315789
10,0.9,1.0,6,0.9332585036754608,1.0
