false_positive_rate,true_positive_rate,threshold
0.0,0.0,inf
0.08333333333333333,0.0,0.7162050935957167
0.16666666666666666,0.0,0.714477742711703
0.16666666666666666,0.5555555555555556,0.5882088765501976
0.25,0.5555555555555556,0.555248807777058
0.25,0.6666666666666666,0.5124980849879128
0.4166666666666667,0.6666666666666666,0.4614695589989424
0.4166666666666667,0.7777777777777778,0.4532912799290248
0.5833333333333334,0.7777777777777778,0.4075911995023489
0.5833333333333334,0.8888888888888888,0.3850809877569025
0.9166666666666666,0.8888888888888888,0.2717577271601733
0.9166666666666666,1.0,0.2058779368033776
1.0,1.0,0.1545066869793794
