metric,estimate,lower,upper,valid_iterations
dice,0.505936747950707,0.3907731859542059,0.6022247889534014,5000
iou,0.3933973815126988,0.2991398501927853,0.47871222256670065,5000
pixel_sensitivity,0.626274998589706,0.481019411982042,0.751732216560978,5000
pixel_specificity,0.9993261642955623,0.999100515511072,0.9995598749102999,5000
pixel_precision,0.5778104152150899,0.4955509640821516,0.6714544958275149,5000
gt_coverage,0.626274998589706,0.481019411982042,0.751732216560978,5000
prediction_purity,0.5778104152150899,0.4955509640821516,0.6714544958275149,5000
empty_prediction,0.10638297872340426,0.00784313725490196,0.28085106382978725,5000
missed_target,0.18723404255319148,0.06222222222222222,0.3605185393653697,5000
pred_gt_area_ratio,1.5444658719531037,1.122828098167554,2.026791303781762,5000
