endpoint,method,model_a,model_b,difference,lower,upper,p_two_sided,wilcoxon_p
case_raw_auroc,paired SubjectID-clustered bootstrap,0.898148148148148,0.6666666666666666,0.2314814814814814,-0.06730769230769229,0.5272727272727273,0.1316,
case_raw_auprc,paired SubjectID-clustered bootstrap,0.9056048345264032,0.5608465608465609,0.34475827367984224,-0.026191578483245163,0.5924682539682539,0.0756,
case_raw_brier,paired SubjectID-clustered bootstrap,0.13872536564608923,0.21943024465359776,-0.08070487900750853,-0.19152286845667002,0.05209283151492831,0.2092,
case_raw_accuracy,exact McNemar,0.8095238095238095,0.7142857142857143,0.09523809523809523,,,0.7265625,
case_calibrated_auroc,paired SubjectID-clustered bootstrap,0.898148148148148,0.6666666666666666,0.2314814814814814,-0.06730769230769229,0.5272727272727273,0.1316,
case_calibrated_auprc,paired SubjectID-clustered bootstrap,0.9056048345264032,0.5608465608465609,0.34475827367984224,-0.026191578483245163,0.5924682539682539,0.0756,
case_calibrated_brier,paired SubjectID-clustered bootstrap,0.12329422497789201,0.23000284328915394,-0.10670861831126192,-0.23889438292799742,0.03992199842139004,0.1432,
case_calibrated_accuracy,exact McNemar,0.8571428571428571,0.6666666666666666,0.19047619047619047,,,0.2890625,
slice_dice,paired SubjectID-clustered bootstrap + Wilcoxon,0.6157987134052976,0.5095497734818286,0.10624893992346889,0.033911727783537474,0.18252757838288475,0.0008,6.734857261935545e-16
slice_iou,paired SubjectID-clustered bootstrap + Wilcoxon,0.5059257363208067,0.39328863799314917,0.11263709832765752,0.04925530523681181,0.17965586133574876,0.0,2.325956908441148e-17
