bin,lower,upper,n,mean_predicted,observed_fraction
1,0.0,0.1,74,0.04362750539203753,0.06756756756756757
2,0.1,0.2,24,0.1415781251465281,0.041666666666666664
3,0.2,0.30000000000000004,22,0.24043064361268823,0.3181818181818182
4,0.30000000000000004,0.4,12,0.3363868072628975,0.08333333333333333
5,0.4,0.5,19,0.46086319339902776,0.3684210526315789
6,0.5,0.6000000000000001,15,0.5452690482139587,0.2
7,0.6000000000000001,0.7000000000000001,10,0.6615387260913849,0.3
8,0.7000000000000001,0.8,19,0.7470190274088007,0.47368421052631576
9,0.8,0.9,29,0.8521119438368698,0.3793103448275862
10,0.9,1.0,53,0.967056858089735,0.6981132075471698
