bin,lower,upper,n,mean_predicted,observed_fraction
1,0.0,0.1,128,0.02823849612518524,0.1015625
2,0.1,0.2,31,0.15310715218454088,0.3548387096774194
3,0.2,0.30000000000000004,13,0.2381412200533897,0.15384615384615385
4,0.30000000000000004,0.4,17,0.34142839781115764,0.35294117647058826
5,0.4,0.5,16,0.44957075310200395,0.5625
6,0.5,0.6000000000000001,11,0.5444412455929573,0.36363636363636365
7,0.6000000000000001,0.7000000000000001,14,0.6406228807589717,0.42857142857142855
8,0.7000000000000001,0.8,6,0.7492235236407542,0.16666666666666666
9,0.8,0.9,17,0.8454926296356371,0.7058823529411765
10,0.9,1.0,24,0.9418116441727147,0.8333333333333334
