precision,recall,threshold
0.42857142857142855,1.0,3.012142636407724e-08
0.45,1.0,4.5252238282615543e-07
0.47368421052631576,1.0,6.349237275396433e-06
0.5,1.0,1.0651953959092322e-05
0.5294117647058824,1.0,1.3835644292351954e-05
0.5625,1.0,3.199049410284538e-05
0.6,1.0,3.6610117036349636e-05
0.5714285714285714,0.8888888888888888,4.2424545099582347e-05
0.6153846153846154,0.8888888888888888,0.006851492383514538
0.6666666666666666,0.8888888888888888,0.04977654787384711
0.6363636363636364,0.7777777777777778,0.20579951895774057
0.7,0.7777777777777778,0.3861917878204954
0.6666666666666666,0.6666666666666666,0.392949316819004
0.75,0.6666666666666666,0.5093589572791339
0.7142857142857143,0.5555555555555556,0.8061656601854181
0.6666666666666666,0.4444444444444444,0.8491455443445685
0.8,0.4444444444444444,0.9497164616380129
0.75,0.3333333333333333,0.9935788038227711
1.0,0.3333333333333333,0.9977321996315472
1.0,0.2222222222222222,0.9999761118464137
1.0,0.1111111111111111,0.9999993228172086
1.0,0.0,
