bin,lower,upper,n,mean_predicted,observed_fraction
1,0.0,0.1,57,0.051296077047785126,0.0
2,0.1,0.2,17,0.1335370610742008,0.0
3,0.2,0.30000000000000004,16,0.24319394957274199,0.0
4,0.30000000000000004,0.4,5,0.3319762647151947,0.0
5,0.4,0.5,5,0.46457341909408567,0.0
6,0.5,0.6000000000000001,8,0.5440559163689613,0.125
7,0.6000000000000001,0.7000000000000001,1,0.6015613079071045,1.0
8,0.7000000000000001,0.8,12,0.7550337811311086,0.4166666666666667
9,0.8,0.9,15,0.8621785322825114,0.26666666666666666
10,0.9,1.0,99,0.9688596171562118,0.7272727272727273
