bin,lower,upper,n,mean_predicted,observed_fraction
1,0.0,0.1,73,0.06482242611902789,0.0
2,0.1,0.2,35,0.14160301794812663,0.02857142857142857
3,0.2,0.30000000000000004,18,0.2591366631409109,0.3333333333333333
4,0.30000000000000004,0.4,29,0.35057576780460026,0.2413793103448276
5,0.4,0.5,24,0.43670322227238795,0.7083333333333334
6,0.5,0.6000000000000001,24,0.5610336441648206,0.875
7,0.6000000000000001,0.7000000000000001,28,0.6386522119389006,0.9642857142857143
8,0.7000000000000001,0.8,4,0.7049488256937574,1.0
9,0.8,0.9,0,,
10,0.9,1.0,0,,
