metric,estimate,lower,upper,valid_iterations
dice,0.5396164202136695,0.4449677594766996,0.618317409509917,5000
iou,0.42235461185227635,0.33656018940059196,0.49398782589074797,5000
pixel_sensitivity,0.6401787019302524,0.5314973220746966,0.7426195024648705,5000
pixel_specificity,0.999354151749672,0.9990998250707486,0.9995600074763464,5000
pixel_precision,0.5634173553014704,0.44696553301720976,0.6660127765817241,5000
gt_coverage,0.6401787019302524,0.5314973220746966,0.7426195024648705,5000
prediction_purity,0.5634173553014704,0.44696553301720976,0.6660127765817241,5000
empty_prediction,0.021660649819494584,0.007142857142857143,0.04065040650406504,5000
missed_target,0.11913357400722022,0.04814370643706439,0.21675040324338463,5000
pred_gt_area_ratio,1.4252195561381893,1.0729238871709246,1.907568138612548,5000
